Date,Region,Product,Category,Revenue,COGS,Operating_Cost,Marketing_Cost,Total_Cost,Profit,Profit_Margin_%,Calculated_Profit,Calculated_Profit_Margin_%
2023-09-15,South,Product C,Furniture,17182,4071,7770,5466,17307,-125,-0.73,-125,-0.7275055290420207
2023-09-16,West,Product A,Furniture,27297,10595,13917,2952,27464,-167,-0.61,-167,-0.6117888412646078
2023-09-17,East,Product C,Office Supplies,24541,17140,10732,6845,34717,-10176,-41.47,-10176,-41.46530296238947
2023-09-18,North,Product D,Office Supplies,33921,14803,7099,2585,24487,9434,27.81,9434,27.811680080186314
2023-09-19,South,Product B,Electronics,21774,29355,13135,7585,50075,-28301,-129.98,-28301,-129.9761183062368
2023-09-20,North,Product A,Furniture,49813,27963,14559,6391,48913,900,1.81,900,1.8067572721980205
2023-09-21,North,Product B,Electronics,42198,5453,9555,4783,19791,22407,53.1,22407,53.09967297028295
2023-09-22,East,Product A,Electronics,13820,8675,3368,1580,13623,197,1.43,197,1.4254703328509406
2023-09-23,South,Product C,Electronics,29070,2955,1285,5536,9776,19294,66.37,19294,66.37082903336773
2023-09-24,West,Product A,Electronics,9232,8295,1148,7687,17130,-7898,-85.55,-7898,-85.55025996533796
2023-09-25,West,Product D,Furniture,16122,17921,14395,2820,35136,-19014,-117.94,-19014,-117.93822106438408
2023-09-26,East,Product D,Electronics,20023,20096,5037,3690,28823,-8800,-43.95,-8800,-43.94945812315837
2023-09-27,East,Product A,Furniture,13007,17282,7549,3130,27961,-14954,-114.97,-14954,-114.96886291996617
2023-09-28,South,Product A,Furniture,22905,6703,8121,3063,17887,5018,21.91,5018,21.907880375463872
2023-09-29,West,Product A,Office Supplies,46786,8563,13743,3792,26098,20688,44.22,20688,44.21835591843714
2023-09-30,West,Product A,Furniture,34398,27849,10958,5121,43928,-9530,-27.71,-9530,-27.705099133670565
2023-10-01,West,Product D,Office Supplies,39268,24015,5895,4086,33996,5272,13.43,5272,13.425690129367423
2023-10-02,North,Product B,Furniture,11737,14003,6280,4931,25214,-13477,-114.82,-13477,-114.82491266933627
2023-10-03,West,Product A,Furniture,41062,12817,2012,7341,22170,18892,46.01,18892,46.00847498904096
2023-10-04,North,Product A,Furniture,30510,28958,12023,5674,46655,-16145,-52.92,-16145,-52.917076368403805
2023-10-05,South,Product D,Office Supplies,24426,28017,11699,7143,46859,-22433,-91.84,-22433,-91.8406615901089
2023-10-06,North,Product D,Office Supplies,42265,13171,10715,3447,27333,14932,35.33,14932,35.32946882763516
2023-10-07,South,Product C,Electronics,22850,28373,3785,4459,36617,-13767,-60.25,-13767,-60.249452954048145
2023-10-08,West,Product A,Office Supplies,5614,14582,11748,3313,29643,-24029,-428.02,-24029,-428.0192376202352
2023-10-09,West,Product C,Office Supplies,26776,14201,4725,3083,22009,4767,17.8,4767,17.80325664774425
2023-10-10,South,Product D,Office Supplies,29077,19778,5576,661,26015,3062,10.53,3062,10.530659971799016
2023-10-11,East,Product D,Office Supplies,14374,14473,6782,1093,22348,-7974,-55.48,-7974,-55.47516348963406
2023-10-12,South,Product B,Electronics,40435,11461,7257,6534,25252,15183,37.55,15183,37.54915296154322
2023-10-13,East,Product A,Office Supplies,35907,23116,10793,6802,40711,-4804,-13.38,-4804,-13.379006878881555
2023-10-14,North,Product C,Furniture,18409,22098,3408,3759,29265,-10856,-58.97,-10856,-58.97115541311315
2023-10-15,North,Product D,Furniture,21514,17596,1340,4655,23591,-2077,-9.65,-2077,-9.654178674351584
2023-10-16,North,Product D,Office Supplies,34866,2529,3817,3462,9808,25058,71.87,25058,71.86944301038261
2023-10-17,West,Product C,Office Supplies,7983,21342,3496,4388,29226,-21243,-266.1,-21243,-266.1029688087185
2023-10-18,North,Product B,Furniture,36705,26288,6962,3890,37140,-435,-1.19,-435,-1.185124642419289
2023-10-19,East,Product D,Furniture,25662,29490,14122,6497,50109,-24447,-95.27,-24447,-95.26537292494739
2023-10-20,North,Product A,Electronics,28510,21975,6299,6854,35128,-6618,-23.21,-6618,-23.21290775166608
2023-10-21,South,Product D,Furniture,17651,28723,10917,5001,44641,-26990,-152.91,-26990,-152.90918361565917
2023-10-22,South,Product A,Furniture,45998,25279,8574,1163,35016,10982,23.87,10982,23.874951084829775
2023-10-23,West,Product C,Office Supplies,33535,14765,2689,1632,19086,14449,43.09,14449,43.086327717310276
2023-10-24,South,Product A,Furniture,11640,15910,4267,5695,25872,-14232,-122.27,-14232,-122.26804123711341
2023-10-25,East,Product C,Electronics,49547,13561,5406,1041,20008,29539,59.62,29539,59.61814035158536
2023-10-26,North,Product A,Furniture,20317,11131,9453,5933,26517,-6200,-30.52,-6200,-30.516316385293102
2023-10-27,West,Product C,Office Supplies,12564,2525,2442,5593,10560,2004,15.95,2004,15.950334288443171
2023-10-28,North,Product A,Office Supplies,32345,24861,9597,5736,40194,-7849,-24.27,-7849,-24.266501777709074
2023-10-29,North,Product B,Furniture,33687,18385,11382,3474,33241,446,1.32,446,1.3239528601537685
2023-10-30,East,Product A,Office Supplies,18737,2374,5437,1367,9178,9559,51.02,9559,51.01670491540802
2023-10-31,South,Product A,Electronics,14323,28916,6435,2566,37917,-23594,-164.73,-23594,-164.7280597640159
2023-11-01,South,Product B,Electronics,20229,14197,9435,931,24563,-4334,-21.42,-4334,-21.42468733007069
2023-11-02,North,Product D,Furniture,49481,29628,13777,5335,48740,741,1.5,741,1.4975445120349227
2023-11-03,West,Product D,Furniture,13502,6648,5107,5969,17724,-4222,-31.27,-4222,-31.26944156421271
2023-11-04,South,Product A,Furniture,5545,4365,1560,4778,10703,-5158,-93.02,-5158,-93.02073940486926
2023-11-05,West,Product B,Office Supplies,42114,19909,13329,6756,39994,2120,5.03,2120,5.0339554542432445
2023-11-06,South,Product A,Electronics,34430,3646,11917,1706,17269,17161,49.84,17161,49.84316003485333
2023-11-07,West,Product C,Electronics,14996,2013,9785,3028,14826,170,1.13,170,1.1336356361696454
2023-11-08,East,Product C,Office Supplies,32788,6599,6548,1669,14816,17972,54.81,17972,54.81273636696352
2023-11-09,West,Product A,Electronics,34969,4278,2826,1330,8434,26535,75.88,26535,75.88149503846265
2023-11-10,East,Product D,Furniture,18919,16296,12421,2151,30868,-11949,-63.16,-11949,-63.158729319731485
2023-11-11,East,Product D,Furniture,8810,5155,12479,1636,19270,-10460,-118.73,-10460,-118.72871736662883
2023-11-12,West,Product A,Furniture,35586,10321,13265,3310,26896,8690,24.42,8690,24.41971561850166
2023-11-13,East,Product A,Electronics,44974,5814,14981,975,21770,23204,51.59,23204,51.59425445813136
2023-11-14,North,Product C,Furniture,46773,15125,8629,3310,27064,19709,42.14,19709,42.13755799285913
2023-11-15,East,Product D,Office Supplies,21371,5216,9325,1826,16367,5004,23.41,5004,23.41490805296898
2023-11-16,South,Product A,Office Supplies,34629,29514,4138,5566,39218,-4589,-13.25,-4589,-13.25189869762338
2023-11-17,West,Product C,Electronics,13436,28616,13111,1519,43246,-29810,-221.87,-29810,-221.8666269723132
2023-11-18,North,Product D,Office Supplies,17984,26603,14235,5737,46575,-28591,-158.98,-28591,-158.9802046263345
2023-11-19,West,Product B,Office Supplies,38039,4113,8693,2336,15142,22897,60.19,22897,60.19348563316596
2023-11-20,South,Product C,Electronics,24895,27828,9264,4756,41848,-16953,-68.1,-16953,-68.09801164892548
2023-11-21,South,Product D,Furniture,23155,22740,13686,2948,39374,-16219,-70.05,-16219,-70.04534657741308
2023-11-22,South,Product D,Furniture,15616,12238,14716,4793,31747,-16131,-103.3,-16131,-103.29789959016394
2023-11-23,East,Product C,Furniture,42129,15760,8842,1783,26385,15744,37.37,15744,37.37093213700776
2023-11-24,East,Product B,Electronics,44837,23927,7721,1159,32807,12030,26.83,12030,26.83051943707206
2023-11-25,West,Product C,Office Supplies,29574,22939,8002,6371,37312,-7738,-26.16,-7738,-26.16487455197133
2023-11-26,West,Product D,Furniture,8430,14588,5225,5666,25479,-17049,-202.24,-17049,-202.24199288256227
2023-11-27,North,Product A,Furniture,17676,25446,3978,2510,31934,-14258,-80.66,-14258,-80.66304593799502
2023-11-28,North,Product A,Electronics,15816,5374,8373,898,14645,1171,7.4,1171,7.40389479008599
2023-11-29,West,Product C,Furniture,37733,8430,6907,2233,17570,20163,53.44,20163,53.435984416823466
2023-11-30,East,Product D,Electronics,25144,21850,7097,6178,35125,-9981,-39.7,-9981,-39.69535475660197
2023-12-01,South,Product A,Office Supplies,7050,21465,13553,2625,37643,-30593,-433.94,-30593,-433.9432624113475
2023-12-02,West,Product D,Electronics,49460,13970,6656,2671,23297,26163,52.9,26163,52.89729073999191
2023-12-03,North,Product C,Electronics,38933,2629,11177,574,14380,24553,63.06,24553,63.064752266714606
2023-12-04,East,Product A,Electronics,29951,18653,9984,6780,35417,-5466,-18.25,-5466,-18.249808019765617
2023-12-05,West,Product D,Electronics,37413,12831,14600,5197,32628,4785,12.79,4785,12.789672039130783
2023-12-06,West,Product A,Office Supplies,39801,28569,5259,3971,37799,2002,5.03,2002,5.030024371246953
2023-12-07,East,Product C,Office Supplies,37913,7724,9286,1336,18346,19567,51.61,19567,51.61026560810276
2023-12-08,West,Product D,Furniture,45600,24281,6901,6124,37306,8294,18.19,8294,18.188596491228072
2023-12-09,East,Product A,Office Supplies,30280,13083,10325,999,24407,5873,19.4,5873,19.39564068692206
2023-12-10,South,Product C,Office Supplies,29557,15149,5917,6192,27258,2299,7.78,2299,7.7781912914030515
2023-12-11,East,Product A,Furniture,40400,21816,9429,637,31882,8518,21.08,8518,21.084158415841582
2023-12-12,East,Product A,Office Supplies,9494,11472,12138,2597,26207,-16713,-176.04,-16713,-176.03749736675795
2023-12-13,East,Product B,Electronics,20152,8276,3530,6390,18196,1956,9.71,1956,9.706232631996823
2023-12-14,West,Product B,Electronics,28895,17635,2960,5568,26163,2732,9.45,2732,9.454922997058315
2023-12-15,West,Product C,Furniture,14155,7895,8045,6238,22178,-8023,-56.68,-8023,-56.67961850936065
2023-12-16,East,Product B,Furniture,36883,15994,2048,4196,22238,14645,39.71,14645,39.70663991540818
2023-12-17,West,Product C,Furniture,48194,25499,6772,2385,34656,13538,28.09,13538,28.09063368884093
2023-12-18,North,Product B,Electronics,48001,25040,3529,6897,35466,12535,26.11,12535,26.11403929084811
2023-12-19,North,Product A,Office Supplies,6828,12552,3964,6624,23140,-16312,-238.9,-16312,-238.8986526069127
2023-12-20,West,Product C,Electronics,46898,18959,8137,3257,30353,16545,35.28,16545,35.27868992281121
2023-12-21,West,Product C,Furniture,37123,25413,1963,4420,31796,5327,14.35,5327,14.349594590954396
2023-12-22,East,Product A,Office Supplies,42573,8099,1536,2400,12035,30538,71.73,30538,71.73090926173866
2023-12-23,South,Product C,Office Supplies,5806,11499,14891,3110,29500,-23694,-408.1,-23694,-408.09507406131587
2023-12-24,West,Product C,Electronics,45970,21576,8340,7400,37316,8654,18.83,8654,18.82532086143137
2023-12-25,North,Product B,Furniture,34757,5178,8179,4486,17843,16914,48.66,16914,48.66357855971459
2023-12-26,East,Product C,Electronics,39636,24436,8967,1949,35352,4284,10.81,4284,10.80835603996367
2023-12-27,West,Product D,Office Supplies,19561,21118,13415,1046,35579,-16018,-81.89,-16018,-81.88742906804356
2023-12-28,North,Product A,Electronics,29262,8116,12871,7969,28956,306,1.05,306,1.0457248308386302
2023-12-29,North,Product B,Electronics,19899,17563,13379,5517,36459,-16560,-83.22,-16560,-83.22026232473993
2023-12-30,South,Product B,Furniture,20934,28788,12916,5176,46880,-25946,-123.94,-25946,-123.9419126779402
2023-12-31,East,Product D,Furniture,43197,28928,9734,5968,44630,-1433,-3.32,-1433,-3.31736000185198
2024-01-01,East,Product A,Office Supplies,46844,5568,1845,6552,13965,32879,70.19,32879,70.18828451882845
2024-01-02,South,Product A,Electronics,41332,11847,12795,2503,27145,14187,34.32,14187,34.32449433852705
2024-01-03,South,Product B,Electronics,39157,28155,6777,2596,37528,1629,4.16,1629,4.160175702939449
2024-01-04,East,Product C,Electronics,16593,16135,4036,7560,27731,-11138,-67.12,-11138,-67.12469113481589
2024-01-05,East,Product B,Office Supplies,45042,20587,6947,7741,35275,9767,21.68,9767,21.684205852315618
2024-01-06,West,Product A,Office Supplies,22320,19774,3494,1203,24471,-2151,-9.64,-2151,-9.637096774193548
2024-01-07,West,Product D,Furniture,32376,3742,13677,6904,24323,8053,24.87,8053,24.873362984927105
2024-01-08,South,Product B,Furniture,48513,20309,3719,2903,26931,21582,44.49,21582,44.487044709665454
2024-01-09,West,Product A,Furniture,19199,2619,2884,2125,7628,11571,60.27,11571,60.268763998124896
2024-01-10,North,Product B,Electronics,20876,19658,13330,3831,36819,-15943,-76.37,-15943,-76.36999425177237
2024-01-11,West,Product C,Electronics,13245,19340,5349,5233,29922,-16677,-125.91,-16677,-125.91166477916195
2024-01-12,West,Product B,Furniture,12214,3939,12393,7386,23718,-11504,-94.19,-11504,-94.18699852628131
2024-01-13,North,Product B,Electronics,5726,22337,6179,7962,36478,-30752,-537.06,-30752,-537.0590289905693
2024-01-14,South,Product A,Furniture,16362,28957,11902,5605,46464,-30102,-183.98,-30102,-183.97506417308398
2024-01-15,North,Product A,Office Supplies,23297,18001,7610,3478,29089,-5792,-24.86,-5792,-24.86157015924797
2024-01-16,West,Product A,Furniture,35448,2968,7430,5236,15634,19814,55.9,19814,55.895960279846534
2024-01-17,South,Product B,Office Supplies,31172,16846,8154,3339,28339,2833,9.09,2833,9.088284357756962
2024-01-18,West,Product C,Electronics,47874,27892,14828,3884,46604,1270,2.65,1270,2.6527969252621464
2024-01-19,North,Product D,Furniture,12657,27619,11145,3159,41923,-29266,-231.22,-29266,-231.22382871138498
2024-01-20,North,Product D,Electronics,23850,2281,7488,2361,12130,11720,49.14,11720,49.14046121593291
2024-01-21,West,Product A,Office Supplies,30425,29420,5737,3356,38513,-8088,-26.58,-8088,-26.58340180772391
2024-01-22,East,Product A,Office Supplies,31685,17360,7525,5801,30686,999,3.15,999,3.152911472305507
2024-01-23,East,Product B,Office Supplies,29578,8262,4850,1185,14297,15281,51.66,15281,51.663398471837176
2024-01-24,North,Product D,Electronics,33831,3058,1689,6447,11194,22637,66.91,22637,66.91200378351216
2024-01-25,North,Product A,Electronics,12906,22677,14564,4783,42024,-29118,-225.62,-29118,-225.61599256159926
2024-01-26,East,Product C,Electronics,12287,12724,11142,2119,25985,-13698,-111.48,-13698,-111.48368194026206
2024-01-27,East,Product C,Electronics,38660,7178,6175,6283,19636,19024,49.21,19024,49.208484221417486
2024-01-28,West,Product A,Office Supplies,15222,8980,14774,5580,29334,-14112,-92.71,-14112,-92.70792274339772
2024-01-29,West,Product A,Office Supplies,42443,11200,9648,5143,25991,16452,38.76,16452,38.7625756897486
2024-01-30,East,Product D,Furniture,39701,3229,6078,7368,16675,23026,58.0,23026,57.99853907962016
2024-01-31,West,Product D,Furniture,22764,27611,11322,7569,46502,-23738,-104.28,-23738,-104.2786856439993
2024-02-01,West,Product B,Electronics,49641,22969,13168,1931,38068,11573,23.31,11573,23.313390141213915
2024-02-02,South,Product D,Office Supplies,22674,10467,14410,1375,26252,-3578,-15.78,-3578,-15.780188762459204
2024-02-03,West,Product C,Office Supplies,23024,21124,13436,5213,39773,-16749,-72.75,-16749,-72.74583043780403
2024-02-04,North,Product C,Office Supplies,28874,4289,6448,2961,13698,15176,52.56,15176,52.55939599639814
2024-02-05,West,Product A,Furniture,48642,3239,2179,1865,7283,41359,85.03,41359,85.02734262571441
2024-02-06,West,Product D,Furniture,37284,7370,13477,1743,22590,14694,39.41,14694,39.4110074026392
2024-02-07,East,Product B,Office Supplies,22602,18170,12757,5498,36425,-13823,-61.16,-13823,-61.15830457481639
2024-02-08,North,Product C,Office Supplies,42784,2125,10074,662,12861,29923,69.94,29923,69.93969708302168
2024-02-09,West,Product C,Office Supplies,28265,14504,7406,2474,24384,3881,13.73,3881,13.730762427029896
2024-02-10,West,Product B,Furniture,30931,25857,9591,3791,39239,-8308,-26.86,-8308,-26.859784682034203
2024-02-11,South,Product B,Office Supplies,33841,27784,7907,769,36460,-2619,-7.74,-2619,-7.739133004343842
2024-02-12,West,Product C,Office Supplies,34192,17398,9800,1131,28329,5863,17.15,5863,17.14728591483388
2024-02-13,West,Product C,Electronics,47520,23726,2638,1405,27769,19751,41.56,19751,41.56355218855219
2024-02-14,South,Product B,Electronics,20585,25735,6671,3971,36377,-15792,-76.72,-15792,-76.71605538013117
2024-02-15,East,Product C,Furniture,30559,8638,7928,3753,20319,10240,33.51,10240,33.508949900193066
2024-02-16,West,Product A,Office Supplies,45059,8570,11340,2514,22424,22635,50.23,22635,50.23413746421359
2024-02-17,South,Product A,Office Supplies,38742,5249,2382,2141,9772,28970,74.78,28970,74.77672809870425
2024-02-18,North,Product B,Electronics,9133,11110,2403,704,14217,-5084,-55.67,-5084,-55.6662651921603
2024-02-19,East,Product D,Furniture,19663,9595,10011,1081,20687,-1024,-5.21,-1024,-5.207750597569039
2024-02-20,North,Product B,Electronics,26754,15605,4292,6175,26072,682,2.55,682,2.5491515287433657
2024-02-21,North,Product B,Electronics,8972,14115,10011,1340,25466,-16494,-183.84,-16494,-183.8386090057958
2024-02-22,South,Product D,Electronics,10295,8294,1419,6432,16145,-5850,-56.82,-5850,-56.82370082564352
2024-02-23,West,Product D,Electronics,46873,24911,13411,5847,44169,2704,5.77,2704,5.768779467923965
2024-02-24,South,Product D,Office Supplies,34125,7757,5517,2219,15493,18632,54.6,18632,54.599267399267404
2024-02-25,South,Product A,Office Supplies,45996,14595,4302,6238,25135,20861,45.35,20861,45.353943821201845
2024-02-26,South,Product C,Electronics,14903,3969,8857,3143,15969,-1066,-7.15,-1066,-7.152922230423404
2024-02-27,South,Product A,Furniture,8020,12985,10700,2797,26482,-18462,-230.2,-18462,-230.1995012468828
2024-02-28,East,Product C,Furniture,46755,19275,8870,1374,29519,17236,36.86,17236,36.86450646989627
2024-02-29,West,Product A,Furniture,25420,6470,6693,6060,19223,6197,24.38,6197,24.37844217151849
2024-03-01,North,Product C,Furniture,26452,25559,1767,6839,34165,-7713,-29.16,-7713,-29.15847572962347
2024-03-02,North,Product A,Electronics,43001,12225,3044,1189,16458,26543,61.73,26543,61.72647147740751
2024-03-03,West,Product D,Office Supplies,14516,11556,11331,4500,27387,-12871,-88.67,-12871,-88.66767704601818
2024-03-04,North,Product B,Furniture,7396,26704,12221,6606,45531,-38135,-515.62,-38135,-515.6165494862088
2024-03-05,West,Product A,Electronics,23546,11206,2549,3641,17396,6150,26.12,6150,26.11908604433874
2024-03-06,North,Product C,Furniture,24129,11991,10956,7282,30229,-6100,-25.28,-6100,-25.280782460939115
2024-03-07,South,Product D,Furniture,6591,25196,7140,1922,34258,-27667,-419.77,-27667,-419.76938249127596
2024-03-08,North,Product A,Electronics,16303,9519,11837,6597,27953,-11650,-71.46,-11650,-71.4592406305588
2024-03-09,West,Product A,Office Supplies,35561,15669,4716,1171,21556,14005,39.38,14005,39.3830319732291
2024-03-10,West,Product D,Office Supplies,11183,6612,13797,7870,28279,-17096,-152.87,-17096,-152.87489940087633
2024-03-11,West,Product A,Electronics,31572,28094,14494,1671,44259,-12687,-40.18,-12687,-40.18434055492208
2024-03-12,West,Product B,Office Supplies,39080,14373,5481,6091,25945,13135,33.61,13135,33.610542476970316
2024-03-13,West,Product A,Electronics,25695,19582,14885,4226,38693,-12998,-50.59,-12998,-50.585717065576965
2024-03-14,East,Product B,Electronics,12314,17552,8898,1443,27893,-15579,-126.51,-15579,-126.51453630014618
2024-03-15,East,Product B,Electronics,24623,16646,7548,6842,31036,-6413,-26.04,-6413,-26.04475490395159
2024-03-16,North,Product D,Office Supplies,7139,7238,3293,1949,12480,-5341,-74.81,-5341,-74.81439977587897
2024-03-17,West,Product A,Electronics,36290,17577,5837,4237,27651,8639,23.81,8639,23.805456048498208
2024-03-18,North,Product D,Furniture,23088,29050,8758,3039,40847,-17759,-76.92,-17759,-76.91874566874567
2024-03-19,West,Product A,Office Supplies,44692,24473,11900,4459,40832,3860,8.64,3860,8.636892508726394
2024-03-20,West,Product A,Office Supplies,38130,24641,7793,5491,37925,205,0.54,205,0.5376344086021506
2024-03-21,East,Product C,Office Supplies,37088,17504,8638,6785,32927,4161,11.22,4161,11.219262295081968
2024-03-22,East,Product A,Office Supplies,31292,26089,8993,5932,41014,-9722,-31.07,-9722,-31.068643742809666
2024-03-23,South,Product D,Furniture,25670,5719,7007,4760,17486,8184,31.88,8184,31.88157382158161
2024-03-24,East,Product B,Office Supplies,8738,2302,6542,2861,11705,-2967,-33.96,-2967,-33.95513847562371
2024-03-25,South,Product A,Office Supplies,7469,14144,10092,6664,30900,-23431,-313.71,-23431,-313.7100013388673
2024-03-26,South,Product C,Electronics,27534,19370,12276,5701,37347,-9813,-35.64,-9813,-35.63957289169753
2024-03-27,South,Product D,Office Supplies,14017,12055,7356,4152,23563,-9546,-68.1,-9546,-68.10301776414353
2024-03-28,South,Product A,Furniture,7808,6440,11201,7798,25439,-17631,-225.81,-17631,-225.80686475409837
2024-03-29,South,Product D,Furniture,17713,23293,9433,4170,36896,-19183,-108.3,-19183,-108.29898944278213
2024-03-30,North,Product C,Furniture,45329,5072,8380,2253,15705,29624,65.35,29624,65.3533058307044
2024-03-31,East,Product C,Furniture,7719,15598,3385,7627,26610,-18891,-244.73,-18891,-244.733773804897
2024-04-01,South,Product D,Office Supplies,27890,16287,5268,2852,24407,3483,12.49,3483,12.488347077805665
2024-04-02,West,Product A,Office Supplies,16700,15965,1671,2438,20074,-3374,-20.2,-3374,-20.20359281437126
2024-04-03,East,Product B,Furniture,41509,21508,1163,870,23541,17968,43.29,17968,43.28699800043364
2024-04-04,East,Product C,Furniture,47534,11519,9656,6476,27651,19883,41.83,19883,41.82900660579795
2024-04-05,South,Product A,Office Supplies,41766,15380,12234,5448,33062,8704,20.84,8704,20.83991763635493
2024-04-06,North,Product A,Furniture,31705,28984,5592,4979,39555,-7850,-24.76,-7850,-24.759501655890237
2024-04-07,South,Product B,Electronics,23787,13865,5795,2431,22091,1696,7.13,1696,7.129944927901795
2024-04-08,North,Product C,Furniture,31588,10125,11634,7088,28847,2741,8.68,2741,8.677345827529441
2024-04-09,West,Product C,Furniture,31123,5291,5798,924,12013,19110,61.4,19110,61.401535841660504
2024-04-10,East,Product A,Electronics,38062,6033,7036,6804,19873,18189,47.79,18189,47.78781987283905
2024-04-11,West,Product A,Electronics,15177,7105,3355,7845,18305,-3128,-20.61,-3128,-20.610133755024048
2024-04-12,North,Product B,Office Supplies,26727,19087,6887,5224,31198,-4471,-16.73,-4471,-16.728401990496504
2024-04-13,North,Product B,Office Supplies,35220,10133,13470,1394,24997,10223,29.03,10223,29.02612152186258
2024-04-14,West,Product C,Electronics,14882,18958,13916,7133,40007,-25125,-168.83,-25125,-168.82811450073916
2024-04-15,North,Product D,Electronics,6136,7704,8961,7660,24325,-18189,-296.43,-18189,-296.43089960886573
2024-04-16,West,Product C,Office Supplies,39832,29808,11749,6970,48527,-8695,-21.83,-8695,-21.829182566780478
2024-04-17,East,Product A,Furniture,36966,9848,6827,1097,17772,19194,51.92,19194,51.923389060217495
2024-04-18,West,Product C,Electronics,12009,23592,9737,3562,36891,-24882,-207.19,-24882,-207.19460404696477
2024-04-19,East,Product D,Office Supplies,17987,14975,14875,2836,32686,-14699,-81.72,-14699,-81.7201312058709
2024-04-20,West,Product B,Furniture,42311,8924,5719,5188,19831,22480,53.13,22480,53.130391623927586
2024-04-21,North,Product D,Electronics,36575,29208,13027,2187,44422,-7847,-21.45,-7847,-21.454545454545453
2024-04-22,West,Product D,Furniture,6007,22212,1593,1072,24877,-18870,-314.13,-18870,-314.1335109039454
2024-04-23,North,Product D,Office Supplies,10445,21614,5839,6671,34124,-23679,-226.7,-23679,-226.7017711823839
2024-04-24,West,Product B,Electronics,15706,2488,8394,7597,18479,-2773,-17.66,-2773,-17.65567299121355
2024-04-25,West,Product D,Furniture,49486,9114,12996,2590,24700,24786,50.09,24786,50.08689326274097
2024-04-26,South,Product D,Electronics,34257,27923,10651,6300,44874,-10617,-30.99,-10617,-30.992205972501967
2024-04-27,North,Product D,Furniture,26736,17740,4493,7066,29299,-2563,-9.59,-2563,-9.58632555356074
2024-04-28,South,Product A,Office Supplies,47207,5173,11793,4169,21135,26072,55.23,26072,55.229097379625905
2024-04-29,North,Product D,Office Supplies,18281,3667,7164,4772,15603,2678,14.65,2678,14.649089218314096
2024-04-30,South,Product B,Electronics,6435,28213,11636,5124,44973,-38538,-598.88,-38538,-598.8811188811189
2024-05-01,East,Product D,Furniture,38339,6114,3672,2133,11919,26420,68.91,26420,68.91155220532616
2024-05-02,West,Product D,Electronics,40150,5553,5200,5561,16314,23836,59.37,23836,59.36737235367372
2024-05-03,North,Product B,Electronics,30821,9761,1016,2017,12794,18027,58.49,18027,58.48934168261899
2024-05-04,North,Product D,Furniture,31660,3000,4191,4793,11984,19676,62.15,19676,62.14782059380922
2024-05-05,West,Product B,Furniture,10084,17638,1392,3157,22187,-12103,-120.02,-12103,-120.02181673938914
2024-05-06,North,Product D,Furniture,21661,27426,9616,4148,41190,-19529,-90.16,-19529,-90.15742578828309
2024-05-07,North,Product B,Office Supplies,18507,19772,7272,7485,34529,-16022,-86.57,-16022,-86.57264818717242
2024-05-08,South,Product D,Electronics,12059,7450,1571,5448,14469,-2410,-19.99,-2410,-19.985073389169912
2024-05-09,North,Product D,Electronics,23271,5712,4631,4088,14431,8840,37.99,8840,37.98719436208156
2024-05-10,East,Product A,Office Supplies,12491,3367,7172,2037,12576,-85,-0.68,-85,-0.6804899527659916
2024-05-11,East,Product A,Furniture,19859,10189,10312,6665,27166,-7307,-36.79,-7307,-36.794400523692026
2024-05-12,West,Product D,Office Supplies,13073,11013,8177,7779,26969,-13896,-106.3,-13896,-106.29541803717586
2024-05-13,North,Product D,Office Supplies,14077,18838,9433,5676,33947,-19870,-141.15,-19870,-141.15223414079705
2024-05-14,West,Product C,Office Supplies,25953,28200,4897,3637,36734,-10781,-41.54,-10781,-41.540477016144564
